year,boys,girls
1940,1211684,1148715
1941,1289734,1223693
1942,1444365,1364631
1943,1508959,1427901
1944,1435301,1359499
1945,1404587,1330869
1946,1691220,1597452
1947,1899876,1800064
1948,1813852,1721216
1949,1826352,1733177
1950,1823555,1730594
1951,1923020,1827830
1952,1971262,1875724
1953,2001798,1900322
1954,2059068,1958294
1955,2073719,1973576
1956,2133588,2029502
1957,2179960,2074824
1958,2152546,2051266
1959,2173638,2071158
1960,2179708,2078142
1961,2186274,2082052
1962,2132466,2034896
1963,2101632,1996388
1964,2060162,1967328
1965,1927054,1833304
1966,1845862,1760412
1967,1803388,1717571
1968,1796326,1705238
1969,1846572,1753634
1970,1915378,1816008
1971,1822910,1733060
1972,1669927,1588484
1973,1608326,1528639
1974,1622114,1537844
1975,1613135,1531063
1976,1624436,1543352
1977,1705916,1620716
1978,1709394,1623885
1979,1791267,1703131
1980,1852616,1759642
1981,1860272,1768966
1982,1885676,1794861
1983,1865553,1773380
1984,1879490,1789651
1985,1927983,1832578
1986,1924868,1831679
1987,1951153,1858241
1988,2002424,1907086
1989,2069490,1971468
1990,2129495,2028717
1991,2101518,2009389
1992,2082097,1982917
1993,2048861,1951379
1994,2022589,1930178
1995,1996355,1903234
1996,1990480,1901014
1997,1985596,1895298
1998,2016205,1925348
1999,2026854,1932563
2000,2076969,1981845
2001,2057922,1968011
2002,2057979,1963747